Feed Category,Feed Type
Grains,Barley grain
Grains,Maize grain
Grains,Oats grain
Grains,Pea
Grains,Soya Bean Meal
Grains,Triticale grain
Grains,Wheat grain
Green feeds,Annual ryegrass
Green feeds,Japanese millet
Green feeds,Kale
Green feeds,Lucerne
Green feeds,Maize greenfeed
Green feeds,Oats leafy
Green feeds,Oats milky dough
Green feeds,Pasture
Green feeds,Rape
Green feeds,Rye corn
Green feeds,Sorghum
Green feeds,Sulla
Green feeds,Swedes
Green feeds,Triticale
Green feeds,Turnips
Hay,Lucerne hay
Hay,Pasture hay
Processed,Avonfeed
Processed,Bran
Processed,Broll
Processed,Brewers grain
Processed,Canola
Processed,Copra
Processed,Corn grits (Hominy)
Processed,Cottonseed meal
Processed,Fishmeal
Processed,Lucerne meal
Processed,Molasses
Processed,Palm Kernel Extract
Processed,Pollard
Processed,Proliq
Processed,Tallow
Processed,Tapioca
Processed,Urea
Silage,Baleage
Silage,Barley milky dough silage
Silage,Cereal silage
Silage,Lucerne silage
Silage,Maize silage
Silage,Pasture silage
Silage,Sweetcorn silage
Silage,Triticale silage
Straws,Barley Straw
Straws,Corn stover
Straws,Oat straw
Straws,Pea Straw
Straws,Ryegrass straw
Straws,Wheat Straw
Vegetable/Fruit,Apple pomace
Vegetable/Fruit,Apples
Vegetable/Fruit,Cabbage
Vegetable/Fruit,Carrots
Vegetable/Fruit,Citrus pulp
Vegetable/Fruit,Grape pomace
Vegetable/Fruit,Kiwifruit
Vegetable/Fruit,Onions
Vegetable/Fruit,Potato
Vegetable/Fruit,Squash
